,n_iter,lr,n_layers,solver,score,0,1,2,3,4,5,6,7,8,9,accuracy,macro avg,weighted avg
54,5,0.01,3,sgd,f1-score,0.9610914603335018,0.9754816112084063,0.9224843524313915,0.9176697159364468,0.9360845495722194,0.9209039548022598,0.94223635400106,0.9530720851475568,0.9231573444851019,0.9392547217968352,0.9398,0.939143614971478,0.9397856678503115
55,5,0.01,3,sgd,support,980.0,1135.0,1032.0,1010.0,982.0,892.0,958.0,1028.0,974.0,1009.0,0.9398,10000.0,10000.0
56,5,0.01,3,lbfgs,precision,0.1755577109602328,0.4694560669456067,0.0,0.0,0.0,0.0,0.0,0.38207739307535643,0.0,0.0,0.2965,0.10270911709811958,0.10976547528057581
57,5,0.01,3,lbfgs,recall,0.923469387755102,0.9885462555066079,0.0,0.0,0.0,0.0,0.0,0.9124513618677043,0.0,0.0,0.2965,0.2824467005129414,0.2965
58,5,0.01,3,lbfgs,f1-score,0.29502852485737574,0.636595744680851,0.0,0.0,0.0,0.0,0.0,0.5386161355153604,0.0,0.0,0.2965,0.14702404050535872,0.15653615118827846
59,5,0.01,3,lbfgs,support,980.0,1135.0,1032.0,1010.0,982.0,892.0,958.0,1028.0,974.0,1009.0,0.2965,10000.0,10000.0
60,5,0.01,4,adam,precision,0.9635627530364372,0.9815950920245399,0.9714847590953786,0.9546858908341915,0.952286282306163,0.8998935037273695,0.9763694951664876,0.97,0.9475374732334048,0.9002795899347623,0.952,0.9517694839358735,0.9526862664644996
61,5,0.01,4,adam,recall,0.9714285714285714,0.986784140969163,0.9573643410852714,0.9178217821782179,0.9755600814663951,0.9473094170403588,0.9488517745302714,0.943579766536965,0.9086242299794661,0.9573835480673935,0.952,0.9514707653282073,0.952
62,5,0.01,4,adam,f1-score,0.9674796747967479,0.984182776801406,0.9643728648121035,0.9358909641595153,0.9637826961770624,0.922992900054615,0.9624139756484913,0.9566074950690335,0.9276729559748429,0.9279538904899136,0.952,0.9513350193983732,0.9520648505978243
63,5,0.01,4,adam,support,980.0,1135.0,1032.0,1010.0,982.0,892.0,958.0,1028.0,974.0,1009.0,0.952,10000.0,10000.0
64,5,0.01,4,sgd,precision,0.9804727646454265,0.9805481874447391,0.9380952380952381,0.9340344168260039,0.9632277834525026,0.9584295612009238,0.9633507853403142,0.9624505928853755,0.9380165289256198,0.9313725490196079,0.955,0.9549998407835751,0.9551755663728955
65,5,0.01,4,sgd,recall,0.9734693877551021,0.9770925110132158,0.9544573643410853,0.9673267326732673,0.960285132382892,0.9304932735426009,0.9603340292275574,0.9474708171206225,0.9322381930184805,0.9415262636273538,0.955,0.9544693704702178,0.955
66,5,0.01,4,sgd,f1-score,0.9769585253456221,0.9788172992056486,0.9462055715658022,0.9503891050583657,0.9617542070372259,0.944254835039818,0.9618400418191323,0.9549019607843137,0.9351184346035015,0.9364218827008378,0.955,0.9546661863160267,0.955020909026601
67,5,0.01,4,sgd,support,980.0,1135.0,1032.0,1010.0,982.0,892.0,958.0,1028.0,974.0,1009.0,0.955,10000.0,10000.0
68,5,0.01,4,lbfgs,precision,0.41311632359980854,0.7017543859649122,0.0,0.44978858350951373,0.45454545454545453,0.2,0.0,0.2823327615780446,0.0,0.2983345401882694,0.4102,0.2799872049386003,0.2871652960858426
69,5,0.01,4,lbfgs,recall,0.8806122448979592,0.9515418502202643,0.0,0.8425742574257425,0.07128309572301425,0.0033632286995515697,0.0,0.8005836575875487,0.0,0.40832507433102083,0.4102,0.39582834088851016,0.4102
70,5,0.01,4,lbfgs,f1-score,0.5623981753014011,0.8077786088257292,0.0,0.5864920744314266,0.1232394366197183,0.00661521499448732,0.0,0.4174486431651027,0.0,0.3447698744769874,0.4102,0.2848742027814853,0.2964267835044968
71,5,0.01,4,lbfgs,support,980.0,1135.0,1032.0,1010.0,982.0,892.0,958.0,1028.0,974.0,1009.0,0.4102,10000.0,10000.0
72,10,0.1,2,adam,precision,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1028,0.0,0.0,0.1028,0.010280000000000001,0.01056784
73,10,0.1,2,adam,recall,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.1028,0.1,0.1028
74,10,0.1,2,adam,f1-score,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18643453028654336,0.0,0.0,0.1028,0.018643453028654337,0.019165469713456656
75,10,0.1,2,adam,support,980.0,1135.0,1032.0,1010.0,982.0,892.0,958.0,1028.0,974.0,1009.0,0.1028,10000.0,10000.0
76,10,0.1,2,sgd,precision,0.9665653495440729,0.9477234401349073,0.9682702149437052,0.9321357285429142,0.9552083333333333,0.9288990825688074,0.9739696312364425,0.9585389930898321,0.8935323383084577,0.8773234200743495,0.9396,0.9402166531776821,0.9404165479729585
77,10,0.1,2,sgd,recall,0.9734693877551021,0.9903083700440528,0.9166666666666666,0.9247524752475248,0.9338085539714868,0.9080717488789237,0.9373695198329853,0.9445525291828794,0.9219712525667351,0.9355797819623389,0.9396,0.9386550286108696,0.9396
78,10,0.1,2,sgd,f1-score,0.9700050838840875,0.9685480396380871,0.9417620706819312,0.9284294234592446,0.9443872296601442,0.9183673469387754,0.9553191489361701,0.9514943655071043,0.9075290550783223,0.9055155875299761,0.9396,0.9391357351313843,0.9397021594715059
79,10,0.1,2,sgd,support,980.0,1135.0,1032.0,1010.0,982.0,892.0,958.0,1028.0,974.0,1009.0,0.9396,10000.0,10000.0
80,10,0.1,2,lbfgs,precision,0.0,0.15877516302806918,0.167853509664293,0.0,0.0,0.0,0.8948979591836734,0.0,0.0,0.0,0.2327,0.12215266318760357,0.1210746876908368
81,10,0.1,2,lbfgs,recall,0.0,0.986784140969163,0.31976744186046513,0.0,0.0,0.0,0.9154488517745303,0.0,0.0,0.0,0.2327,0.22220004346041583,0.2327
82,10,0.1,2,lbfgs,f1-score,0.0,0.2735376724874832,0.2201467645096731,0.0,0.0,0.0,0.9050567595459237,0.0,0.0,0.0,0.2327,0.139874119654308,0.14047010948922709
83,10,0.1,2,lbfgs,support,980.0,1135.0,1032.0,1010.0,982.0,892.0,958.0,1028.0,974.0,1009.0,0.2327,10000.0,10000.0
84,10,0.1,3,adam,precision,0.0,0.1135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1135,0.01135,0.01288225
85,10,0.1,3,adam,recall,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1135,0.1,0.1135
86,10,0.1,3,adam,f1-score,0.0,0.203861697350696,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1135,0.0203861697350696,0.023138302649304
87,10,0.1,3,adam,support,980.0,1135.0,1032.0,1010.0,982.0,892.0,958.0,1028.0,974.0,1009.0,0.1135,10000.0,10000.0
88,10,0.1,3,sgd,precision,0.9784615384615385,0.9790940766550522,0.9504854368932039,0.9548577036310107,0.9526209677419355,0.9824150058616647,0.9797225186766275,0.9535783365570599,0.9027237354085603,0.9573170731707317,0.9587,0.9591276393057384,0.9591297859778156
89,10,0.1,3,sgd,recall,0.9734693877551021,0.9903083700440528,0.9486434108527132,0.9633663366336633,0.9623217922606925,0.9394618834080718,0.9582463465553236,0.9591439688715954,0.9527720739219713,0.933597621407334,0.9587,0.958133119171052,0.9587
90,10,0.1,3,sgd,f1-score,0.9759590792838875,0.9846692947875603,0.9495635305528612,0.9590931493346475,0.9574468085106383,0.960458452722063,0.9688654353562005,0.95635305528613,0.9270729270729271,0.9453085800301053,0.9587,0.958479031293702,0.9587704313550954
91,10,0.1,3,sgd,support,980.0,1135.0,1032.0,1010.0,982.0,892.0,958.0,1028.0,974.0,1009.0,0.9587,10000.0,10000.0
92,10,0.1,3,lbfgs,precision,0.0,0.5934182590233545,0.0,0.3333333333333333,0.0,0.0,0.0,0.1431874229346486,0.3211267605633803,0.0,0.2577,0.13910657758547168,0.14701705262237252
93,10,0.1,3,lbfgs,recall,0.0,0.9850220264317181,0.0,0.299009900990099,0.0,0.0,0.0,0.9036964980544747,0.23408624229979466,0.0,0.2577,0.24218146677760863,0.2577
94,10,0.1,3,lbfgs,f1-score,0.0,0.7406425968863863,0.0,0.31524008350730687,0.0,0.0,0.0,0.24720596061734962,0.2707838479809976,0.0,0.2577,0.15738724889920402,0.16768930272565555
95,10,0.1,3,lbfgs,support,980.0,1135.0,1032.0,1010.0,982.0,892.0,958.0,1028.0,974.0,1009.0,0.2577,10000.0,10000.0
96,10,0.1,4,adam,precision,0.0,0.0,0.0,0.0,0.0,0.0,0.0958,0.0,0.0,0.0,0.0958,0.00958,0.009177639999999999
97,10,0.1,4,adam,recall,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0958,0.1,0.0958
98,10,0.1,4,adam,f1-score,0.0,0.0,0.0,0.0,0.0,0.0,0.17484942507756887,0.0,0.0,0.0,0.0958,0.01748494250775689,0.016750574922431097
99,10,0.1,4,adam,support,980.0,1135.0,1032.0,1010.0,982.0,892.0,958.0,1028.0,974.0,1009.0,0.0958,10000.0,10000.0
100,10,0.1,4,sgd,precision,0.9699097291875627,0.9902048085485308,0.9689320388349515,0.9510086455331412,0.9732234809474768,0.9246501614639397,0.9807486631016042,0.9717348927875243,0.9608465608465608,0.9581256231306082,0.9654,0.9649384604381899,0.9656457983729039
101,10,0.1,4,sgd,recall,0.986734693877551,0.9797356828193833,0.9670542635658915,0.9801980198019802,0.9623217922606925,0.9630044843049327,0.9572025052192067,0.9698443579766537,0.9322381930184805,0.9524281466798811,0.9654,0.9650762139524653,0.9654
102,10,0.1,4,sgd,f1-score,0.9782498735457763,0.9849424269264836,0.967992240543162,0.9653827401267675,0.9677419354838709,0.9434376716090059,0.9688325409403064,0.9707887049659202,0.9463262115685253,0.9552683896620279,0.9654,0.9648962735371844,0.9654167972287901
103,10,0.1,4,sgd,support,980.0,1135.0,1032.0,1010.0,982.0,892.0,958.0,1028.0,974.0,1009.0,0.9654,10000.0,10000.0
104,10,0.1,4,lbfgs,precision,0.2100456621004566,0.0,0.0,0.3103769194974407,0.5279823269513991,0.0,0.33294255568581477,0.0,0.1765133171912833,0.0,0.2819,0.15578607814263945,0.15286870219084572
105,10,0.1,4,lbfgs,recall,0.14081632653061224,0.0,0.0,0.6603960396039604,0.730142566191446,0.0,0.592901878914405,0.0,0.7484599589322382,0.0,0.2819,0.2872716770172662,0.2819
106,10,0.1,4,lbfgs,f1-score,0.16860109957238847,0.0,0.0,0.42228553339664454,0.6128205128205129,0.0,0.4264264264264264,0.0,0.2856583072100313,0.0,0.2819,0.19157918794260037,0.1880274917640382
107,10,0.1,4,lbfgs,support,980.0,1135.0,1032.0,1010.0,982.0,892.0,958.0,1028.0,974.0,1009.0,0.2819,10000.0,10000.0
